X	Название	Описание	Когда сбрасывается?
1	Поймал мышку	Возьми карту. Если ты у студента, добавь 1 очко доверия к нему	Сразу
1	Поймал крысу	Возьми 1 еду. Если ты на клетке хозяина, добавь 2 очка доверия к нему	Сразу
1	Потереться о ноги	Сбрось 2 еды, возьми карту. Если ты на клетке хозяина, добавь 2 очка доверия к нему.	Сразу
1	Поймал птичку	Возьми 3 еды и одну карту.	Сразу
1	Мур?	Если ты на клетке хозяина, возьми 2 очка доверия к нему. Если у тебя их больше трёх - возьми 2 еды.	Сразу
1	Сбегать в ларёк	Играй на клетке хозяина. Когда посетишь ларёк, сбрось эту карту и получи 2 очка доверия к нему, и возьми карту.	Посетив ларёк
1	Защитник	Играй на клетке хозяина. Подравшись с кем-нибудь, получи 2 очка доверия к нему, и возьми карту.	Подравшись
1	Почтальон	Играй на клетке хозяина. Когда посетишь другого хозяина, сбрось эту карту и получи по 2 очка доверия к обоим, и 2 еды.	Посетив другого хозяина
1	One love	Сбрось 4 еды. Перемести любое количество твоих очков доверия с других хозяев к одному.	Сразу
1	Живой мем	Сбрось 2 еды. Возьми по 2 очка доверия к хозяевам, у которых нет очка доверия.	Сразу
1	Приступ ласки	Кот (на твой выбор) на клетке хозяина сбрасывает 2 карты и берёт 2 очка доверия.	Сразу
1	Принести подарок	Сбрось несколько единиц еды. Если ты на клетке хозяина, возьми очки доверия к нему (половину сброшенной еды, округление вверх).	Сразу
1	Сюрприз на пороге	Играй только находясь на клетке хозяина. Все коты сбрасывают по одному очку доверия к этому хозяину.	Сразу
1	Стащить колбасу	Возьми 2 еды. Другой кот на твой выбор теряет 2 очка доверия хозяину на твой выбор.	Сразу
1	Дикий кот	Кот не может получать новые очки доверия, но может проходить сквозь заборы. Посетив подвал, он может сбросить эту карту.	Посетив подвал
1	Бешеность	Кот не может получать новые очки доверия, но получает +1 к броскам на драки. В свой ход он может сбросить 3 еды, и сбросить эту карту.	Заплатив еду
1	Блошки	Кот не может получать новые очки доверия. Посетив хозяина или подравшись, он может сбросить или передать (если дрался) другому коту эту карту.	Подравшись
1	По крышам	Сбрось 2 еды. Перемести любого кота на любую клетку.	Сразу
1	Съели не то	Ты и любой кот на твой выбор сбрасывает по 2 еды.	Сразу
2	Все было не так!	Сбрось 2 еды. Сбрось любую сыгранную карту (положенную перед игроком)	Сразу
2	Все свои	Кот играет воткрытую. В свой ход он может сбросить 2 еды, и сбросить эту карту.	Заплатив еду
1	Мы же друзья?	Отдай другому коту 2 еды. Он показывает всем руку. Возьми у него одну карту (выбираешь ты).	Сразу
2	Справедливость	Кот с наибольшим количеством еды даёт тебе 2 еды; кот с наибольшим количеством карт даёт тебе 1 карту (в случае неоднозначности - на твой выбор)	Сразу
1	Обмен	Отдай другому игроку две карты. Он взамен даёт тебе две своих, на его выбор.	Сразу
2	Быстрые лапки	Сбрось 2 еды. Можешь проходить через заборы и переместиться на 4 клетки больше в этот ход.	В конце хода
2	Лучший котик	Проходя через клетку с другом котом, он даёт тебе 1 еду или 1 карту (на его выбор). Ты можешь проходить сквозь заборы. Сбрось, когда кто-то другой станет лучшим котиком.	Пока другой кот не станет лучшим котиком
2	Искатель приключений	Прибавь 2 к броскам на перемещение. Посещая подвал, бери 1 карту (в дополнение к 1 еде). Сбрось, когда другой код станет искателем приключений.	Пока другой кот не станет искателем приключений
2	Попрошайка	В начале хода не сбрасывай еду. Посещая ларёк, бери (в дополнение к 1 карты) 1 еду. Ты можешь проходить сквозь заборы. Сбрось, когда другой кот станет Попрошайкой.	Пока другой кот не станет попрошайкой
2	Гроза дворов	 +1 ко всем броскам на драки. В случае успешной драки оппонент сбрасывает одно очко доверия (на его выбор). Сбрось, когда другой кот станет Грозой дворов.	Пока другой кот не станет грозой дворов
2	Нет.	Когда другой кот попытается взять у тебя карту, можешь отдать ему эту. В этом случае он отдаёт тебе 2 еды. Можно играть не в свой ход.	Сразу
1	Похожесть	Сбрось 2 еды. Когда другой игрок попытается взять очки доверия, забери их к себе. Играй не в свой ход.	Сразу
2	Цапнуть	Когда другой кот проходит через твою клетку (или находится на ней), можешь подраться с бонусом в +1 к броску. Можно играть не в свой ход.	Сразу
1	Подобрать	Когда любая карта отправляется в сброс, можешь сбросить 2 еды, и забрать её себе. Можно играть не в свой ход.	Сразу
2	Подстава	Поменяй значение на кубике. Можно играть не в свой ход.	Сразу